EffectsizeID,StudyID,Age,Name_year,Article_num,Sample_Num,Items_num,g,vg,Grey_Lit,Design,Students,Retention_Interval,Intentionality,Transfer_Retention,Simultaneity,ZMean_within,ZMean_between,ZMean_complex,ZMean_fam,ZMean_cur,Spaced,Regression_Analysis,Regression_Analysis_With_Outlier,Regression_Analysis_IndependentStudies,Regression_Analysis_Students,Regression_Analysis_Visual,Regression_Analysis_Artifical,Regression_Analysis_RetentionInterval,Regression_Analysis_Simultaneity,Regression_Analysis_Age,Regression_Analysis_Spacing,Regression_Analysis_TransferRetention
44,27,20.57384615,Carvalho & Goldstone (2014b),8,2d,1,0.096486326,0.017477679,0,1,1,0,0,1,0,-1.00690083,-0.650629797,-0.699581923,-1.334231176,1.190422719,-1,0,0,1,0,0,0,0,1,1,1,0
45,28,20.57384615,Carvalho & Goldstone (2014b),8,3a,1,-0.209934858,0.02929895,0,1,1,0,0,0,0,1.816017559,2.234545588,-0.415412329,-1.28537028,1.143777666,-1,0,0,1,0,0,0,0,1,1,1,0
46,28,20.57384615,Carvalho & Goldstone (2014b),8,3b,1,-0.116431956,0.028843021,0,1,1,0,0,1,0,1.816017559,2.234545588,-0.415412329,-1.28537028,1.143777666,-1,0,0,0,0,0,0,0,1,1,1,0
47,29,20.57384615,Carvalho & Goldstone (2014b),8,4a,1,-0.096505814,0.040182985,0,1,1,0,0,0,0,-1.00690083,-0.650629797,-0.699581923,-1.334231176,1.190422719,-1,0,0,1,0,0,0,0,1,1,1,0
48,29,20.57384615,Carvalho & Goldstone (2014b),8,4b,1,-0.032827832,0.041498836,0,1,1,0,0,1,0,-1.00690083,-0.650629797,-0.699581923,-1.334231176,1.190422719,-1,0,0,0,0,0,0,0,1,1,1,0
49,30,20.57384615,Carvalho & Goldstone (2015a),28,1a,1,-0.423360423,0.031318334,0,1,1,0,0,0,0,1.316518841,1.550122887,-0.129087795,-1.556647777,1.510797817,-1,0,0,1,0,0,0,0,1,1,1,0
50,31,20.57384615,Carvalho & Goldstone (2015a),28,2a,1,0.315997367,0.029371932,0,1,1,0,0,0,0,1.316518841,1.550122887,-0.129087795,-1.556647777,1.510797817,-1,0,0,1,0,0,0,0,1,1,1,0
51,30,20.57384615,Carvalho & Goldstone (2015a),28,1b,1,-0.296673024,0.029955471,0,1,1,0,0,1,0,1.316518841,1.550122887,-0.129087795,-1.556647777,1.510797817,-1,0,0,0,0,0,0,0,1,1,1,0
52,31,20.57384615,Carvalho & Goldstone (2015a),28,2b,1,0.345738295,0.029658234,0,1,1,0,0,1,0,1.316518841,1.550122887,-0.129087795,-1.556647777,1.510797817,-1,0,0,0,0,0,0,0,1,1,1,0
53,32,20.57384615,Carvalho & Goldstone (2015a),28,3,1,-0.300128231,0.017915888,0,1,1,0,0,1,0,1.036954038,1.388113997,0.121612478,-1.832106377,1.49057653,-1,0,0,0,0,0,0,0,1,1,1,1
54,33,20.57384615,Carvalho & Goldstone (2015a),28,4,1,0.316362225,0.019848772,0,1,1,0,0,1,0,1.036954038,1.388113997,0.121612478,-1.832106377,1.49057653,-1,0,0,0,0,0,0,0,1,1,1,1
55,34,20.57384615,Dobson (2011),7,1a,5,0.166471359,0.044189855,0,0,1,1,0,0,0,-0.163751673,-1.145281274,1.493778574,0.745881141,0.010503977,-1,0,0,0,0,1,1,1,1,1,1,1
56,34,20.57384615,Dobson (2011),7,1b,5,0.08944962,0.044080346,0,0,1,1,0,0,0,-0.163751673,-1.145281274,1.493778574,0.745881141,0.010503977,-1,0,0,1,0,1,1,0,1,1,1,1
57,34,20.57384615,Dobson (2011),7,1c,5,0.012522244,0.044036766,0,0,1,1,0,0,0,-0.163751673,-1.145281274,1.493778574,0.745881141,0.010503977,-1,0,0,1,0,1,1,0,1,1,1,1
58,34,20.57384615,Dobson (2011),7,1d,5,0.078144702,0.044069821,0,0,1,1,0,0,0,-0.163751673,-1.145281274,1.493778574,0.745881141,0.010503977,-1,0,0,1,0,1,1,1,1,1,1,1
59,35,20.57384615,Dobson (2011),7,2a,5,0.007419672,0.039882056,0,0,1,1,0,0,0,-0.163751673,-1.145281274,1.493778574,0.745881141,0.010503977,-1,0,0,0,0,1,1,1,1,1,1,1
60,35,20.57384615,Dobson (2011),7,2b,5,-0.199997973,0.040083794,0,0,1,1,0,0,0,-0.163751673,-1.145281274,1.493778574,0.745881141,0.010503977,-1,0,0,1,0,1,1,0,1,1,1,1
61,35,20.57384615,Dobson (2011),7,2c,5,-0.149950076,0.039995339,0,0,1,1,0,0,0,-0.163751673,-1.145281274,1.493778574,0.745881141,0.010503977,-1,0,0,1,0,1,1,0,1,1,1,1
62,35,20.57384615,Dobson (2011),7,2d,5,-0.042365588,0.039890843,0,0,1,1,0,0,0,-0.163751673,-1.145281274,1.493778574,0.745881141,0.010503977,-1,0,0,1,0,1,1,1,1,1,1,1
63,36,32.50666667,Dwyer et al. (2004),21,1,6,0.827758603,0.169645264,0,0,0,0,0,0,0,2.251903745,0.083539652,-2.79096884,-0.187992224,2.353982886,-1,1,1,1,1,1,1,0,1,1,1,1
64,37,32.50666667,Dwyer et al. (2004),21,2,6,1.020902277,0.177083954,0,0,0,0,0,0,0,2.251903745,0.083539652,-2.79096884,-0.187992224,2.353982886,-1,1,1,1,1,1,1,0,1,1,1,1
65,38,32.50666667,Dwyer et al. (2004),21,3,6,-0.090659276,0.155541822,0,0,0,0,0,0,0,2.251903745,0.083539652,-2.79096884,-0.187992224,2.353982886,-1,1,1,1,1,1,1,0,1,1,1,1
66,39,20.57384615,Dwyer et al. (2011),36,1a,3,0.345299836,0.04582568,0,1,1,0,1,0,0,-0.031369497,0.366034171,-0.60390508,0.885394412,0.693085793,distract,0,0,1,0,0,1,0,1,1,0,1
67,39,20.57384615,Dwyer et al. (2011),36,1b,3,0.695939078,0.054235132,0,1,1,0,1,0,0,-0.031369497,0.366034171,-0.60390508,0.885394412,0.693085793,distract,0,0,1,0,0,1,0,1,1,0,1
68,39,20.57384615,Dwyer et al. (2011),36,1c,3,0.858383623,0.060050847,0,1,1,0,1,0,0,-0.031369497,0.366034171,-0.60390508,0.885394412,0.693085793,notspaced,0,0,1,0,0,1,0,1,1,0,1
69,40,20.4,Friedman (2013),33,1,0,1.851059693,0.08201437,1,1,1,0,0,1,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,0,0,0,0,0,1,1,1,0,1,1
70,41,20.4,Friedman (2013),33,2,0,1.820311193,0.080280895,1,1,1,0,0,0,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,0,0,0,0,0,1,1,1,0,1,1
